PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,0,5.17E-06,2.35E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,0,5.20E-06,2.21E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,0,6.03E-06,2.23E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,0,7.79E-06,2.32E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,0,1.16E-05,2.71E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,0,1.96E-05,3.40E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,0,3.26E-05,4.70E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,0,5.89E-05,7.27E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,0,0.000116555,0.000130424
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,0,0.000220537,0.000233973
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,0,0.000437301,0.000450745
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,0,0.000867643,0.000882209
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,65536,0,0.001715752,0.001729026
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,131072,0,0.003315771,0.003328926
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,262144,0,0.006485896,0.00649918
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,524288,0,0.012563111,0.012575568
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1048576,0,0.023672406,0.023684592
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2097152,0,0.042804454,0.042816175
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4194304,0,0.083990383,0.084001629
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8388608,0,0.167663191,0.167673938
